trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,area_error,area_error_abs,d,dt,reproduced_period,temporal_error
74,73.9934,433.605,333,0,0,2,1,0,1,vft_matiasherrera,-0.00017706316057181898,-0.00017702811981068668,0.08557888849539448,0.933563101,359.6116,-26.61160000000001
75,430.194,680.174,333,0,0,2,1,0,1,vft_matiasherrera,0.0002038945080291611,-0.00020390336184650026,0.08772836188948799,1.1801303750000003,249.97999999999996,83.02000000000004
76,447.962,740.934,333,0,0,2,1,0,1,vft_matiasherrera,0.0001329026695275051,-0.00013290295645656283,0.09062906754256439,1.240890253,292.972,40.02800000000002
77,398.215,665.825,333,0,0,2,1,0,1,vft_matiasherrera,0.00010346289535773842,-0.00010346281070930825,0.08973319895702604,1.165781096,267.61000000000007,65.38999999999993
78,468.21,856.176,333,0,0,2,1,0,1,vft_matiasherrera,0.0001374039975808269,-0.00013740401571241638,0.0815799602537283,1.3561205829999998,387.96600000000007,-54.966000000000065
79,411.022,666.192,333,0,0,2,1,0,1,vft_matiasherrera,0.00013240652306948717,-0.00013240852914673333,0.09163337350182212,1.166130155,255.17000000000002,77.82999999999998
80,443.00800000000004,743.977,333,0,0,2,1,0,1,vft_matiasherrera,0.000127943082935644,-0.00012794300796562988,0.08497627753994007,1.2438503539999999,300.96899999999994,32.03100000000006
81,668.561,943.268,333,0,0,2,1,0,1,vft_matiasherrera,9.803768835685322e-05,-9.842016858347461e-05,0.08680765378724427,1.443000332,274.707,58.293000000000006
82,424.648,695.6110000000001,333,0,0,2,1,0,1,vft_matiasherrera,2.172845925999589e-05,-4.584401670705955e-05,0.09013345799869299,1.1953868680000002,270.9630000000001,62.03699999999992
83,476.352,854.745,333,0,0,2,1,0,1,vft_matiasherrera,2.063879710161688e-05,-2.6103170661046083e-05,0.08574674263267797,1.3545823839999998,378.39300000000003,-45.39300000000003
84,517.832,849.83,333,0,0,2,1,0,1,vft_matiasherrera,0.00010599475958440685,-0.00010598908323682668,0.08356659913998121,1.3496788590000002,331.99800000000005,1.0019999999999527
85,418.783,858.628,333,0,0,2,1,0,1,vft_matiasherrera,0.0003001885540425025,-0.00030018842803274104,0.08112096134649083,1.3585306000000001,439.845,-106.84500000000003
86,430.184,766.7,333,0,0,2,1,0,1,vft_matiasherrera,2.6316635908718895e-05,-3.683219676762841e-05,0.0856048396461987,1.26661026,336.516,-3.5160000000000196
87,411.889,781.4910000000001,333,0,0,2,1,0,1,vft_matiasherrera,-8.84569725187068e-06,-3.281103888820759e-05,0.08391975008803589,1.280994673,369.6020000000001,-36.60200000000009
88,463.48900000000003,776.064,333,0,0,2,1,0,1,vft_matiasherrera,6.8304414287993e-05,-6.828016979144738e-05,0.08736840571306528,1.2759927199999999,312.57499999999993,20.425000000000068
89,412.277,761.8530000000001,333,0,0,2,1,0,1,vft_matiasherrera,3.230344302679567e-05,-3.225259407600903e-05,0.08167783100207718,1.261810197,349.5760000000001,-16.57600000000008
90,721.987,0.0,333,60,1,3,1,0,0,vft_matiasherrera,,,,,,
91,786.232,1617.19,333,60,1,3,1,0,1,vft_matiasherrera,-0.0012257997615508591,0.0012257998080492736,0.10146990935118688,2.1170201769999997,830.9580000000001,-497.9580000000001
92,572.063,1157.13,333,60,1,3,1,0,1,vft_matiasherrera,-0.0015535068793209703,0.001553516206478163,0.1071169893063981,1.6569605980000002,585.0670000000001,-252.06700000000012
93,616.828,1136.12,333,60,1,3,1,0,1,vft_matiasherrera,-0.0016265011691215746,0.0016265086404138823,0.10799775352273504,1.635967623,519.2919999999999,-186.29199999999992
94,695.79,0.0,333,60,1,3,1,0,0,vft_matiasherrera,,,,,,
95,497.115,1083.19,333,60,1,3,1,0,1,vft_matiasherrera,-0.0006599681724834127,0.0006599787547553962,0.1105780893041397,1.5830493369999998,586.075,-253.07500000000005
96,575.3340000000001,0.0,333,60,1,3,1,0,0,vft_matiasherrera,,,,,,
97,518.365,930.7589999999999,333,60,1,3,1,0,1,vft_matiasherrera,-0.0011217429991927882,0.0011217452371984889,0.10421142240401875,1.430630241,412.3939999999999,-79.39399999999989
98,745.314,1130.45,333,60,1,3,1,0,1,vft_matiasherrera,-0.0011050788155852521,0.0011050788155852521,0.10401829716339744,1.63032015,385.1360000000001,-52.13600000000008
99,462.88699999999994,0.0,333,60,1,3,1,0,0,vft_matiasherrera,,,,,,
100,501.915,1693.46,333,60,1,3,1,0,1,vft_matiasherrera,-0.0018563973126225698,0.0012917940982487015,0.1657672063220218,2.1933303929999997,1191.545,-858.5450000000001
101,499.91900000000004,1012.26,333,60,1,3,1,0,1,vft_matiasherrera,-0.002054447673744231,0.0020539105096569026,0.12169700677966025,1.5121301820000002,512.3409999999999,-179.3409999999999
102,708.313,1154.96,333,60,1,3,1,0,1,vft_matiasherrera,-0.0009410316227015101,0.0009410316271812796,0.10080661924070693,1.654860187,446.64700000000005,-113.64700000000005
103,546.379,938.035,333,60,1,3,1,0,1,vft_matiasherrera,-0.0015596562473775939,0.0015596584533396176,0.10900614157138355,1.4379201830000001,391.65599999999995,-58.65599999999995
104,616.861,1029.52,333,60,1,3,1,0,1,vft_matiasherrera,-0.001562417751439356,0.0015625107675681829,0.10838223714874212,1.529409468,412.659,-79.65899999999999
105,613.266,980.434,333,60,1,3,1,0,1,vft_matiasherrera,-0.0012257644940694605,0.0012257580745879723,0.1001510810690674,1.48032919,367.168,-34.168000000000006
106,503.14099999999996,947.045,333,60,1,3,1,0,1,vft_matiasherrera,-0.001234594995774604,0.00123460435715909,0.10141227225606204,1.446929916,443.904,-110.904
107,704.123,1110.95,333,60,1,3,1,0,1,vft_matiasherrera,-0.0016428716926717624,0.0016428813381174857,0.11378968550934898,1.6110945110000001,406.827,-73.827
108,598.111,1065.18,333,60,1,3,1,0,1,vft_matiasherrera,-0.0014231737014855656,0.0014231677321124635,0.10637380555600479,1.5649727900000001,467.0690000000001,-134.06900000000007
109,508.315,952.8760000000001,333,60,1,3,1,0,1,vft_matiasherrera,-0.0019943097807901783,0.0019927025784819783,0.11977010803909446,1.4528579279999998,444.5610000000001,-111.56100000000009
110,596.313,969.607,333,60,1,3,1,0,1,vft_matiasherrera,-0.0010215029005168274,0.001021508095999208,0.09623306663706037,1.469400104,373.294,-40.29399999999998
111,526.764,913.565,333,60,1,3,1,0,1,vft_matiasherrera,-0.0010291368973593751,0.0010291386691830317,0.09850346078407801,1.4133597789999999,386.80100000000004,-53.801000000000045
112,625.283,1023.06,333,60,1,3,1,0,1,vft_matiasherrera,-0.0014288577189222652,0.001428859704379406,0.10567058760083878,1.5228501319999999,397.77699999999993,-64.77699999999993
113,639.112,952.9939999999999,333,60,1,3,1,0,1,vft_matiasherrera,-0.0010097199062875642,0.0010096699336478842,0.10141282568308865,1.4529011310000002,313.88199999999995,19.118000000000052
114,529.014,0.0,333,60,1,3,1,0,0,vft_matiasherrera,,,,,,
115,467.76800000000003,939.0319999999999,333,60,1,3,1,0,1,vft_matiasherrera,-0.0014226896749310212,0.0014226774605443796,0.11330519015203272,1.438778104,471.2639999999999,-138.2639999999999
116,455.269,849.0239999999999,333,60,1,3,1,0,1,vft_matiasherrera,-0.001015223447710766,0.0010084909857935934,0.10318885976708711,1.348790095,393.7549999999999,-60.75499999999988
117,580.511,892.765,333,60,1,3,1,0,1,vft_matiasherrera,-0.0010798125760180467,0.0010797804731541554,0.10284110470797583,1.39251985,312.254,20.74599999999998
118,531.492,889.9939999999999,333,60,1,3,1,0,1,vft_matiasherrera,-0.000960141196332549,0.0009601422706303092,0.09938236337811931,1.389730489,358.50199999999995,-25.501999999999953
119,467.24,815.988,333,60,1,3,1,0,1,vft_matiasherrera,-0.000714615711132222,0.0007149133375018953,0.08919744637991338,1.3158603429999998,348.74800000000005,-15.748000000000047
120,530.994,965.488,333,60,1,3,1,0,1,vft_matiasherrera,-0.0009653279489848772,0.0009653898537090721,0.0937825416849089,1.4654802150000001,434.494,-101.49400000000003
121,479.491,817.488,333,60,1,3,1,0,1,vft_matiasherrera,-0.0008176188903691027,0.000817649503979312,0.09372798607107581,1.3174597140000002,337.99700000000007,-4.997000000000071
122,515.194,1173.17,333,60,1,3,1,0,1,vft_matiasherrera,-0.0009519689780654727,0.0009159015268236518,0.10903726957516893,1.6729756320000002,657.9760000000001,-324.9760000000001
123,527.705,1110.17,333,0,0,4,1,0,1,vft_matiasherrera,0.00041829899932928474,-0.0004182991916786337,0.08021403545190253,1.6101799350000001,582.465,-249.46500000000003
124,455.466,988.684,333,0,0,4,1,0,1,vft_matiasherrera,0.0003337060574956193,-0.00033413975332253197,0.08011470836592625,1.488649971,533.218,-200.21799999999996
